,gl,searchTerms,Spearman_TFIDF_Content,Kendall_TFIDF_Content,Spearman_BM25_Content,Kendall_BM25_Content,Spearman_VSM_Content,Kendall_VSM_Content,Spearman_TFIDF_Summary,Kendall_TFIDF_Summary,Spearman_BM25_Summary,Kendall_BM25_Summary,Spearman_VSM_Summary,Kendall_VSM_Summary,Comparison_Type,Spearman_Content,Spearman_Summary,Kendall_Content,Kendall_Summary
51,us,chevrolet malibu limited for sale,0.9999999999999999,1.0,-0.9999999999999999,-1.0,0.9999999999999999,1.0,-0.9999999999999999,-1.0,-0.9999999999999999,-1.0,0.9999999999999999,1.0,,,,,
52,us,chevrolet tahoe for sale,0.6,0.39999999999999997,0.09999999999999999,0.0,0.09999999999999999,0.0,0.7,0.6,0.39999999999999997,0.39999999999999997,0.49999999999999994,0.39999999999999997,,,,,
53,us,chevrolet traverse for sale,0.8999999999999998,0.7999999999999999,0.09999999999999999,0.0,0.19999999999999998,0.19999999999999998,0.3,0.19999999999999998,0.3,0.19999999999999998,0.19999999999999998,0.19999999999999998,,,,,
54,us,chrysler 200 for sale,0.7,0.6,0.3,0.19999999999999998,0.09999999999999999,0.0,0.0,-0.19999999999999998,0.39999999999999997,0.39999999999999997,-0.49999999999999994,-0.19999999999999998,,,,,
55,us,dodge charger for sale,0.19999999999999998,0.19999999999999998,-0.19999999999999998,-0.19999999999999998,0.09999999999999999,0.0,-0.19999999999999998,-0.19999999999999998,-0.3,-0.19999999999999998,0.19999999999999998,0.19999999999999998,,,,,
56,us,dodge dart for sale,0.6,0.39999999999999997,0.09999999999999999,0.0,0.49999999999999994,0.39999999999999997,0.3,0.19999999999999998,-0.19999999999999998,-0.19999999999999998,-0.6,-0.39999999999999997,,,,,
57,us,dodge durango for sale,0.8999999999999998,0.7999999999999999,0.09999999999999999,0.0,0.19999999999999998,0.19999999999999998,-0.19999999999999998,-0.19999999999999998,0.3,0.19999999999999998,0.49999999999999994,0.19999999999999998,,,,,
58,us,ford edge for sale,0.8857142857142858,0.7333333333333333,0.4285714285714286,0.3333333333333333,-0.3714285714285715,-0.3333333333333333,0.5428571428571429,0.4666666666666666,0.3142857142857143,0.2,0.3142857142857143,0.2,,,,,
59,us,ford escape for sale,0.8999999999999998,0.7999999999999999,0.09999999999999999,0.0,0.19999999999999998,0.19999999999999998,0.49999999999999994,0.19999999999999998,0.3,0.19999999999999998,0.3,0.19999999999999998,,,,,
60,us,ford explorer for sale,0.7,0.6,0.3,0.19999999999999998,-0.19999999999999998,-0.19999999999999998,-0.09999999999999999,0.0,-0.3,-0.19999999999999998,0.09999999999999999,0.0,,,,,
61,us,ford fiesta for sale,0.8285714285714287,0.7333333333333333,0.6571428571428573,0.6,0.6,0.4666666666666666,0.6,0.4666666666666666,0.3714285714285715,0.3333333333333333,-0.028571428571428574,0.06666666666666665,,,,,
